Derivatives - Additional Information (Detail) - USD ($),12 Months Ended,Unnamed: 2
,"Jun. 30, 2024","Jun. 30, 2023"
Derivative [Line Items], , 
Minimum required liquidity under certain counterparty agreements,1000000000, 
Minimum liquidity for the period as defined by certain counterparty agreements,1000000000, 
"Gross amounts of derivative assets, elected to offset",304000000,442000000
"Gross amounts of derivative liabilities, elected to offset",800000000,804000000
Senior Unsecured Obligations, , 
Derivative [Line Items], , 
Debt instrument credit rating,AAA, 
