Difference Between Income Taxes Computed at Federal Statutory Rate and Provision for Income Taxes (Detail),12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Income Tax Disclosure [Abstract], , , 
Federal statutory rate,0.21,0.21,0.21
Effect of:, , , 
Foreign earnings taxed at lower rates,(1.40%),(1.80%),(1.30%)
Impact of intangible property transfers,0,0,(3.90%)
Foreign-derived intangible income deduction,(1.10%),(1.30%),(1.10%)
"State income taxes, net of federal benefit",0.015,0.016,0.014
Research and development credit,(1.10%),(1.10%),(0.90%)
Excess tax benefits relating to stock-based compensation,(1.10%),(0.70%),(1.90%)
"Interest, net",0.011,0.008,0.005
"Other reconciling items, net",(0.70%),0.005,(0.70%)
Effective rate,0.182,0.19,0.131
