Maturities of Lease Liabilities (Detail) - USD ($) $ in Millions,"Sep. 30, 2024","Jun. 30, 2024"
Leases [Abstract], , 
"Operating Leases, Year Ending June 30, 2025 (excluding the three months ended September 30, 2024)",3386, 
"Operating Leases, Year Ending June 30, 2026",4122, 
"Operating Leases, Year Ending June 30, 2027",3411, 
"Operating Leases, Year Ending June 30, 2028",2754, 
"Operating Leases, Year Ending June 30, 2029",2124, 
"Operating Leases, Thereafter",7174, 
"Operating Leases, Total lease payments",22971, 
"Operating Leases, Less imputed interest",-2601, 
Operating Leases,20370,19077
"Finance Leases, Year Ending June 30, 2025 (excluding the three months ended September 30, 2024)",2742, 
"Finance Leases, Year Ending June 30, 2026",3697, 
"Finance Leases, Year Ending June 30, 2027",3720, 
"Finance Leases, Year Ending June 30, 2028",3706, 
"Finance Leases, Year Ending June 30, 2029",3099, 
"Finance Leases, Thereafter",22745, 
"Finance Leases, Total lease payments",39709, 
"Finance Leases, Less imputed interest",-8358, 
Finance Leases,31351,27145
