Segment Revenue (Detail) - USD ($) $ in Millions,12 Months Ended,Unnamed: 2,Unnamed: 3
,"Jun. 30, 2024","Jun. 30, 2023","Jun. 30, 2022"
Segment Reporting Information [Line Items], , , 
Revenue,245122,211915,198270
Productivity and Business Processes, , , 
Segment Reporting Information [Line Items], , , 
Revenue,106820,94151,84635
Intelligent Cloud, , , 
Segment Reporting Information [Line Items], , , 
Revenue,87464,72944,63029
More Personal Computing, , , 
Segment Reporting Information [Line Items], , , 
Revenue,50838,44820,50606
